player_id,match_id,rating,min_played,goals,assists,yellow_card,red_card
1,1,6.2,90,0,0,0,0
1,2,6.6,90,0,0,0,0
1,3,7.0,90,0,0,0,0
1,4,7.1,90,0,0,0,0
1,5,7.1,90,0,0,0,0
1,6,6.9,90,0,0,0,0
1,7,7.1,46,0,0,0,0
2,1,6.4,64,0,0,1,0
2,2,6.5,90,0,0,1,0
2,3,7.1,90,0,0,0,0
2,4,7.9,61,0,1,0,0
2,5,6.8,61,0,0,0,0
2,6,6.3,80,0,0,0,0
2,7,7.0,32,0,0,0,0
2,8,7.2,88,0,0,0,0
2,9,6.2,90,0,0,0,0
2,10,7.4,63,0,0,0,0
2,11,7.2,90,0,0,0,0
2,12,7.3,90,0,0,0,0
2,13,6.8,90,0,0,0,0
2,14,7.0,90,0,0,0,0
2,15,7.0,90,0,0,0,0
2,16,7.4,67,0,0,0,0
2,17,7.1,90,0,0,0,0
2,18,6.6,90,0,0,0,0
2,19,7.6,90,0,0,0,0
2,20,6.5,90,0,0,0,0
2,21,6.6,90,0,0,1,0
2,22,6.9,90,0,0,0,0
2,23,6.8,90,0,0,1,0
2,24,6.5,17,0,0,0,0
3,1,7.5,64,0,0,0,0
3,2,7.2,90,0,0,0,0
3,3,6.6,26,0,0,0,0
3,4,7.0,90,0,0,0,0
3,5,7.3,90,0,0,0,0
3,6,6.2,88,0,0,1,0
3,8,7.8,88,0,0,0,0
3,9,6.6,21,0,0,0,0
3,10,7.4,90,0,1,0,0
3,11,7.2,81,0,0,0,0
3,12,6.6,90,0,0,0,0
3,13,7.0,90,0,0,0,0
3,14,7.7,90,0,1,0,0
3,15,6.8,90,0,1,0,0
3,17,7.3,90,0,0,0,0
3,19,7.3,13,0,1,0,0
3,20,7.4,26,0,0,0,0
3,21,6.7,90,0,0,0,0
3,22,6.6,88,0,0,0,0
3,23,6.7,90,0,0,0,0
3,24,6.9,90,0,0,0,0
5,1,6.5,90,0,0,0,0
5,2,7.4,90,0,0,0,0
5,3,7.2,90,0,0,0,0
5,4,7.1,90,0,0,0,0
5,5,7.1,90,0,0,0,0
5,6,6.3,90,0,0,1,0
5,7,7.1,81,0,0,0,0
5,8,7.7,90,0,0,0,0
5,10,8.3,84,1,1,0,0
5,11,7.4,81,0,0,1,0
5,12,7.2,90,0,0,0,0
5,13,7.3,90,0,0,0,0
5,14,7.5,90,0,1,1,0
5,15,7.6,90,0,0,0,0
5,16,8.1,90,1,0,0,0
5,17,6.8,90,0,0,1,0
5,18,6.6,90,0,0,0,0
5,19,7.6,90,0,0,0,0
5,20,6.8,90,0,0,0,0
5,21,7.6,90,0,0,0,0
5,22,6.6,90,0,0,0,0
5,23,6.9,90,0,0,0,0
5,24,6.6,90,0,0,0,0
6,12,,8,0,0,0,0
6,13,,6,0,0,0,0
6,14,,4,0,0,1,0
6,15,,6,0,0,0,0
6,16,7.0,24,0,0,0,0
6,17,,7,0,0,0,0
6,18,7.1,75,0,0,0,0
6,19,6.5,24,0,0,0,0
6,20,6.9,57,0,0,0,0
6,21,,9,0,0,0,0
6,22,6.0,17,0,0,0,0
6,24,6.1,16,0,0,0,0
7,1,6.4,64,0,0,0,0
7,2,7.2,63,0,0,0,0
7,3,6.7,46,0,0,0,0
7,4,8.2,18,1,1,0,0
7,5,4.5,18,0,0,0,1
7,6,6.2,11,0,0,0,0
7,8,6.2,28,0,0,0,0
7,9,6.6,90,0,1,0,0
7,10,6.8,90,0,0,0,0
7,11,,6,0,0,0,0
7,20,6.6,34,0,0,0,0
7,21,7.4,73,1,0,0,0
7,22,7.3,31,1,0,0,0
7,23,8.5,20,2,0,1,0
7,24,6.3,25,0,0,0,0
8,1,6.5,27,0,0,0,0
8,2,7.5,90,0,0,0,0
8,3,8.0,90,1,0,0,0
8,4,7.3,61,0,0,0,0
8,5,8.5,69,1,0,0,0
8,6,6.7,83,0,0,0,0
8,7,8.1,59,0,1,0,0
8,8,6.3,14,0,0,0,0
8,9,6.6,90,0,0,1,0
8,10,8.1,63,0,1,0,0
8,11,7.5,90,0,0,0,0
8,12,8.1,83,1,0,0,0
8,13,7.2,85,0,0,0,0
8,14,7.1,87,0,0,0,0
8,15,7.0,85,0,0,0,0
8,16,7.1,58,0,0,0,0
8,17,6.6,90,0,0,0,0
8,18,6.8,75,0,0,0,0
8,19,7.8,88,0,0,0,0
8,20,7.0,90,0,1,0,0
8,21,7.2,82,0,0,1,0
8,22,6.8,74,0,0,0,0
8,23,6.9,90,0,0,0,0
8,24,6.8,90,0,0,0,0
9,1,8.3,90,2,0,0,0
9,2,6.6,90,1,0,1,0
9,3,6.7,90,0,0,0,0
9,4,8.2,73,1,1,0,0
9,5,7.3,69,0,1,0,0
9,6,6.3,80,0,0,0,0
9,7,7.9,90,2,0,0,0
9,8,7.7,77,1,0,0,0
9,9,6.6,70,0,0,0,0
9,10,8.4,75,2,0,0,0
9,11,9.1,90,3,0,0,0
9,12,8.5,66,2,0,0,0
9,13,7.2,85,1,0,0,0
9,14,8.1,90,2,0,0,0
9,15,6.8,90,0,0,0,0
9,16,8.6,78,2,0,0,0
9,17,6.5,90,0,0,0,0
